,Agric,Food ,Soda ,Beer ,Smoke,Toys ,Fun  ,Books,Hshld,Clths,Hlth ,MedEq,Drugs,Chems,Rubbr,Txtls,BldMt,Cnstr,Steel,FabPr,Mach ,ElcEq,Autos,Aero ,Ships,Guns ,Gold ,Mines,Coal ,Oil  ,Util ,Telcm,PerSv,BusSv,Hardw,Softw,Chips,LabEq,Paper,Boxes,Trans,Whlsl,Rtail,Meals,Banks,Insur,RlEst,Fin  ,Other
Agric,33.016471925770304,6.0021941036414574,3.8699943487394974,5.728244544817927,4.1780897549019596,12.079249621848744,9.555298739495797,8.443420777310925,4.818646295518206,13.242363788515407,9.49365861344537,8.262753291316526,3.188541372549019,10.301292948179272,9.110701904761903,10.231922240896354,11.856161533613445,11.770463788515404,12.152487766106443,13.447690616246497,14.250773046218487,12.451516085434173,10.835923116246498,9.881916862745099,4.390485966386556,1.3407945378151263,1.6891227591036437,10.83708476190476,11.73902596638655,9.41023025910364,5.240670952380954,6.215376232492996,11.22067942577031,10.418964222689077,11.693401918767506,13.168240119047612,15.679614740896355,13.916696883753502,5.580337780112047,13.241683431372541,9.164795364145654,7.081704467787113,10.459359957983194,9.155836358543418,9.269857016806718,7.224961659663866,8.869554852941176,17.77638086834735,5.043271407563028
Food ,6.0021941036414574,19.28787761904762,15.268256260504206,15.95386623249299,15.766213627450979,8.974494873949578,7.901771428571427,7.586214327731096,9.624082338935573,12.24391850140056,9.986420588235294,5.400095658263306,10.499551988795522,10.611120686274504,5.589341288515405,9.760704817927168,11.01222609243697,8.508447913165265,4.0964960364145675,5.240791316526608,5.112683739495798,10.898396540616243,4.680946904761905,12.374201288515412,10.67571714285714,7.25111344537815,5.200053081232491,8.048257927170868,3.1705690756302536,7.624032619047619,8.438209635854339,8.009857338935575,10.124396330532212,7.458600546218485,1.4118544257703054,3.334983767506999,2.233054691876751,4.200352591036416,10.180652030812322,11.561835938375344,10.702983501400565,7.321268095238093,10.157178403361346,10.683339607843136,14.853123781512604,15.480179621848738,6.459152899159666,10.513121736694679,6.630002142857141
Soda ,3.8699943487394974,15.268256260504206,75.88724985294114,29.679767668067225,13.801041113445374,13.03249424369748,16.561955882352933,14.36907703781513,19.620146029411764,17.205459852941182,19.790953151260506,14.258754831932778,12.040546806722686,16.21619271008404,20.361362857142854,18.532962521008397,21.2347900630252,17.219321197478997,13.364101533613443,20.99143235294118,19.517622079831927,12.607370525210083,19.275230273109248,21.56770773109243,20.16973100840336,10.834292016806721,2.4627800420168056,12.06448117647059,35.69669638655461,9.514955903361338,11.341443949579832,12.98927155462185,15.558432394957986,13.864216617647058,9.751688109243695,7.439291365546221,13.507295063025214,15.939454096638663,18.663612079831935,18.314362058823523,19.015642394957986,15.139189033613436,12.552569789915973,11.947657815126046,22.31764079831932,18.64183750000001,13.539006155462186,22.40490226890756,13.777991953781513
Beer ,5.728244544817927,15.95386623249299,29.679767668067225,36.62246184173669,12.024002850140059,11.443424831932774,13.265572689075622,8.375347457983189,18.778861771708673,12.311027303921566,17.550024579831934,8.770639985994395,14.967180308123256,11.912622850140053,11.68760330532213,13.040900112044826,16.74654787815127,11.00970041316527,7.564534754901961,8.081327871148456,7.9112266176470545,13.056593326330542,11.009165623249299,17.0932543977591,10.634168319327737,7.737756722689078,-3.229157212885155,9.98819288515406,13.851542773109237,7.32489461484594,8.397343501400563,9.344124271708681,10.970303095238103,10.330881659663865,5.551274887955181,4.364715679271707,6.864879376750703,6.5317333683473375,12.785236169467796,13.648335392156858,15.228990182072833,8.3658230952381,11.804433487394961,13.750491540616247,18.303036428571428,17.958513970588236,8.9244231302521,17.224830728291312,10.680544726890751
Smoke,4.1780897549019596,15.766213627450979,13.801041113445374,12.024002850140059,77.28997142156862,11.136557436974787,8.72996344537815,3.5309244327731095,7.895885973389352,6.075261085434173,15.501590126050418,10.438549229691874,9.172327703081233,6.590437471988798,9.50505338935574,4.3770478431372535,11.875961827731093,15.191775371148465,8.12059643557423,10.428158963585432,5.103240735294114,6.374151813725488,7.871457892156861,16.490486666666666,13.246027815126052,12.025585294117638,22.21125539215685,14.529398935574234,14.200057394957984,9.69736167366947,14.537451568627452,7.027295532212883,13.126611162464984,7.364452920168063,4.5722305182072835,1.4349066036414573,3.5583945028011184,8.689221603641455,9.450892471988794,12.531550686274505,4.221531694677871,15.499181414565827,1.7209289495798317,10.15087271708683,12.120613403361341,11.438966911764702,9.373755399159663,8.112190728291317,10.681890609243695
Toys ,12.079249621848744,8.974494873949578,13.03249424369748,11.443424831932774,11.136557436974787,39.46611873949579,23.195753781512593,9.783278865546219,10.591425252100839,21.19216886554621,12.832101260504196,8.638266806722688,4.8477717647058824,19.423958949579838,20.4093618487395,18.67164689075631,19.496025924369743,22.971598277310918,27.371105168067217,23.201410924369746,26.326054663865538,15.423831386554621,20.973929873949583,22.161117983193282,12.400068739495795,16.882331092436985,9.26473739495799,19.686811932773114,9.412308739495794,11.730260126050416,3.587040840336134,9.613001092436976,15.108274033613448,15.381684075630258,23.177877058823523,19.098532731092433,27.407497268907566,21.72108172268907,16.372375000000005,24.037477058823537,18.33725117647059,10.469689831932772,18.117286638655468,17.65433159663866,15.02871857142856,11.636946008403362,13.665163991596634,25.253016302520994,13.996645672268913
Fun  ,9.555298739495797,7.901771428571427,16.561955882352933,13.265572689075622,8.72996344537815,23.195753781512593,48.8670487394958,17.60394831932774,10.965214705882358,25.73746092436975,10.544549579831937,14.872703361344538,13.158480672268904,19.817381932773113,23.047295798319308,23.738903361344533,20.239218907563014,25.28093739495798,38.22450210084034,24.70723613445378,36.110727310924375,29.736810504201667,30.08306596638656,24.91656638655462,16.390981512605048,5.611244537815126,8.5453512605042,22.573531092436962,21.622642016806715,12.02353487394958,6.775398319327729,25.21395462184874,19.672788235294117,25.4203037815126,43.42319579831932,39.7637575630252,48.65952058823529,36.5298962184874,17.40350210084034,27.880749579831924,21.797295798319333,20.53212100840337,23.085913445378143,20.006021848739497,22.183247899159653,15.314855882352935,15.505068487394952,38.4546848739496,24.311896218487387
Books,8.443420777310925,7.586214327731096,14.36907703781513,8.375347457983189,3.5309244327731095,9.783278865546219,17.60394831932774,20.72014228991596,8.293636323529414,18.076903172268903,10.973788025210078,8.492502310924372,7.680434705882353,14.123695525210083,13.028349747899158,13.555692941176469,13.786947752100842,17.160366197478996,19.84111443277311,12.913430672268904,18.593869516806734,20.024108466386558,16.40844787815126,15.61707546218487,9.1037387394958,-0.2923869747899155,4.757322478991598,14.493664201680673,16.18943134453782,7.896860903361344,6.287774537815129,16.918428445378154,15.318585252100839,16.937395147058815,18.703052226890755,22.01987838235295,21.529950315126047,19.235271953781517,12.626814810924369,17.870222815126052,15.30413323529412,12.540518529411774,18.071415924369756,10.40216487394958,16.81669197478991,14.257663340336126,10.295382079831935,25.567647310924354,14.320321491596637
Hshld,4.818646295518206,9.624082338935573,19.620146029411764,18.778861771708673,7.895885973389352,10.591425252100839,10.965214705882358,8.293636323529414,21.618676127450993,9.740085217086836,11.460251050420172,8.49846337535014,11.525239691876742,10.717349670868344,10.005113669467791,10.242911316526616,15.061402289915968,9.439153284313726,11.414776421568632,6.8087855742296925,11.629663382352938,12.892934992997198,12.11764790616246,15.433563081232501,10.354067478991588,6.4536348739495795,-1.7978503501400542,9.771974677871146,11.125597394957987,4.808991183473388,4.915175154061625,7.909262787114844,10.87101387955182,11.572750357142848,9.923252338935576,10.1134531442577,12.166198354341738,10.746142682072819,12.930682738095243,14.321568305322126,11.843245784313725,7.0288885014005595,10.187669201680674,10.001635518207282,13.893074663865544,12.129105777310924,5.629093088235293,15.554934649859938,11.390588634453781
Clths,13.242363788515407,12.24391850140056,17.205459852941182,12.311027303921566,6.075261085434173,21.19216886554621,25.73746092436975,18.076903172268903,9.740085217086836,40.44046604341737,18.979980882352944,10.220971078431377,6.183977955182069,23.34024948879552,17.697126666666676,24.793377759103652,22.85105149159664,28.853732429971995,27.476627780112036,23.723041316526608,28.239743340336137,25.172154082633064,25.6221268837535,28.442171372549026,20.457907310924373,11.21893403361344,13.766246148459384,23.03618330532212,20.67514882352941,14.41615671568627,8.232898795518205,16.08926998599439,21.439055868347346,20.28732359243696,23.632333375350147,23.292327528011196,28.56256719187673,22.663459838935577,22.189897934173683,28.133407324929973,25.7491332072829,17.039445112044817,26.14064508403362,22.179720784313723,23.40444886554624,19.959849684873948,18.14660018907562,30.641127535013993,19.30383573529412
