yearmonth,Agric,Food ,Soda ,Beer ,Smoke,Toys ,Fun  ,Books,Hshld,Clths,Hlth ,MedEq,Drugs,Chems,Rubbr,Txtls,BldMt,Cnstr,Steel,FabPr,Mach ,ElcEq,Autos,Aero ,Ships,Guns ,Gold ,Mines,Coal ,Oil  ,Util ,Telcm,PerSv,BusSv,Hardw,Softw,Chips,LabEq,Paper,Boxes,Trans,Whlsl,Rtail,Meals,Banks,Insur,RlEst,Fin  ,Other
2005-01-01,-2.81,0.39,3.08,-0.67,4.36,-2.18,-5.07,-3.3,-1.25,-2.56,1.96,-0.09,-5.6,-1.45,-7.96,-3.32,3.21,3.09,-0.39,-0.98,-5.22,-1.19,-8.0,-0.94,-2.46,0.55,-6.48,1.1,4.55,2.99,1.76,-4.21,-1.18,-3.38,-4.71,-6.85,-7.6,-4.47,-3.19,-4.12,-6.88,-2.73,-0.98,0.38,-3.02,-0.82,2.2,-0.49,-0.61
2005-02-01,2.93,-1.03,-0.37,1.47,3.12,0.02,-1.1,-0.09,0.02,2.09,4.5,1.35,2.55,8.27,2.5,0.81,-0.31,9.26,9.82,-2.91,6.67,2.35,-0.33,4.76,1.73,1.91,8.04,10.49,14.19,19.52,2.36,-0.3,-2.28,0.92,-0.81,-2.19,4.07,2.28,1.62,9.73,2.48,3.12,0.33,1.13,-1.54,2.59,7.87,-0.52,-0.72
2005-03-01,0.82,-1.36,-0.3,-0.98,0.31,-6.44,0.11,-1.17,-0.59,-1.07,6.54,-4.9,0.03,-2.04,0.34,-6.42,-0.98,-7.1,-7.53,-5.09,-3.08,-2.67,-8.57,2.44,1.87,2.55,-5.94,-4.6,-3.58,-3.44,0.61,-0.18,-0.31,-0.52,-1.05,-2.75,-3.12,-6.43,-0.37,-1.98,-0.97,-1.82,0.49,0.29,-3.17,-4.34,-4.34,-1.19,0.45
2005-04-01,-1.26,-0.07,1.3,2.22,-1.34,-11.48,-3.88,-3.01,-2.57,-7.3,0.77,3.03,4.5,-7.45,-4.65,-5.98,-0.72,-3.45,-9.91,-1.01,-5.53,-8.01,-11.24,-0.41,-3.22,-1.09,-10.45,-9.37,-6.08,-5.58,2.13,-2.0,-3.0,-3.64,-6.45,-4.86,-2.32,-5.46,-8.24,-4.92,-6.24,-2.65,-5.68,-5.84,0.39,-1.89,-1.02,-4.4,-0.57
2005-05-01,4.8,1.94,3.87,2.42,3.18,3.28,4.7,-1.21,1.69,6.63,1.95,0.46,1.69,0.23,5.83,5.9,2.55,10.25,0.21,7.31,5.63,6.89,10.32,5.53,3.85,7.07,-1.41,5.72,10.33,1.92,1.66,1.54,5.0,2.21,10.58,6.15,10.55,8.9,0.72,0.05,5.09,4.26,6.66,8.09,2.5,5.93,9.2,1.37,0.89
2005-06-01,-0.62,-2.45,2.11,-3.93,-2.34,1.87,-1.3,-0.7,-2.56,5.81,3.56,-1.58,-0.74,-0.93,1.39,1.65,-0.5,8.89,-3.01,-2.1,0.67,-2.81,3.0,-0.14,2.17,-0.3,4.87,6.72,7.29,5.75,5.56,0.14,4.59,2.94,-1.11,-2.71,-1.17,-1.45,-3.14,-3.4,-3.1,1.5,3.04,-2.46,0.92,3.96,6.55,5.91,-2.95
2005-07-01,4.54,2.14,4.28,1.66,3.58,2.99,4.27,2.32,3.42,3.29,-4.25,6.38,3.87,4.64,2.6,2.81,8.05,11.16,13.15,-0.21,10.68,6.8,7.56,1.74,6.56,-2.19,-3.88,10.38,20.92,5.8,2.98,3.09,1.7,5.26,3.17,5.51,9.26,8.74,5.15,4.71,8.15,5.18,6.03,4.51,0.52,3.25,-1.34,4.75,-0.21
2005-08-01,-4.02,-1.87,-2.17,0.5,4.54,2.73,-1.41,0.45,-1.08,-3.96,-0.07,0.41,-0.51,-6.04,-6.15,-2.2,-1.4,-3.39,-0.76,-2.34,1.28,0.22,-4.13,-0.02,-0.12,0.0,4.72,1.56,8.77,5.62,1.25,-1.25,-0.87,-0.27,-2.67,0.8,-0.62,1.08,-3.59,1.07,-3.62,-1.39,-6.63,-4.84,-1.71,-0.9,-3.56,-1.17,-2.06
2005-09-01,1.58,2.01,-8.31,0.54,4.74,-3.68,-1.11,-3.54,1.54,-1.85,-1.09,-4.12,-1.43,-1.85,-1.39,-4.55,4.16,1.12,3.08,-4.75,-0.1,2.32,-6.48,0.99,4.58,-2.27,19.35,10.68,9.49,7.2,4.38,-1.47,-6.45,1.14,2.21,-0.06,1.09,-0.42,0.7,-5.25,3.95,-0.07,-2.19,-0.27,-1.47,4.34,-1.4,6.81,0.4
2005-10-01,-4.47,-3.01,-0.95,0.53,1.7,-7.09,-1.95,-7.13,-3.28,-2.29,-4.59,-1.5,-3.58,2.32,0.39,-4.07,-6.04,-10.97,-4.33,-6.97,-4.57,-4.25,-6.61,-4.8,-2.79,-1.58,-10.07,-3.0,-9.74,-10.18,-6.85,-2.98,0.24,-0.41,-1.56,1.39,-6.53,-3.5,0.89,-0.94,2.58,-2.01,2.21,0.19,2.86,2.05,-8.41,3.27,1.22
