Industry,Portfolio Return
Food ,17.878082432521992
Soda ,21.584245729039537
Beer ,1.6791174662684647e-10
Smoke,9.793890151730665e-11
Toys ,1.44610983794256e-11
Fun  ,0.0
Books,2.105366707104667e-13
Hshld,16.525845439025645
Clths,27.43004851395603
Hlth ,5.0333034549889925e-11
MedEq,1.3177187159463773e-10
Drugs,12.294704131087487
Chems,19.400345961105003
Rubbr,3.924150563739195e-11
Txtls,0.0
BldMt,1.0958740643456434e-11
Cnstr,6.438905900569289e-11
Steel,9.545887947535722e-11
FabPr,0.0
Mach ,0.0
ElcEq,0.0
Autos,6.592639687066697e-11
Aero ,1.9236460404182395e-11
Ships,2.4681372291567934e-10
Guns ,3.5906124541728103e-12
Gold ,11.69422991915025
Mines,2.076164852934765
Coal ,0.0
Oil  ,4.5777237849984816e-11
Util ,2.073465058193034
Telcm,23.706594782128995
PerSv,2.814218777571811
BusSv,8.798920147530402e-11
Hardw,2.2926785653071185e-11
Softw,0.0
Chips,0.0
LabEq,0.0
Paper,3.048019425831022e-12
Boxes,0.0
Trans,2.8901004408676126e-11
Whlsl,1.1230401042710421e-11
Rtail,0.0
Meals,0.0
Banks,0.0
Insur,1.246956258008861e-10
RlEst,8.01875403171103e-11
Fin  ,21.43774557501277
Other,9.297819965852067e-11
