yearmonth,Food ,Soda ,Beer ,Smoke,Toys ,Fun  ,Books,Hshld,Clths,Hlth ,MedEq,Drugs,Chems,Rubbr,Txtls,BldMt,Cnstr,Steel,FabPr,Mach ,ElcEq,Autos,Aero ,Ships,Guns ,Gold ,Mines,Coal ,Oil  ,Util ,Telcm,PerSv,BusSv,Hardw,Softw,Chips,LabEq,Paper,Boxes,Trans,Whlsl,Rtail,Meals,Banks,Insur,RlEst,Fin  ,Other
2005-01-01,0.043979135541084756,0.27544842281102877,-5.076983177940663e-13,1.7173280137360027e-12,-3.191455200156693e-13,-0.0,-8.543667158688391e-15,-0.1336955976880594,-0.3155712933476876,6.230831031250189e-13,-5.625666924490014e-14,-0.3407083488424878,-0.13321258532747196,-1.2688373745781134e-12,-0.0,1.4755067935696976e-13,9.742064942838517e-13,-1.7685128020231492e-13,-0.0,-0.0,-0.0,-1.7826979042262492e-12,-7.399849721693995e-14,-1.957891581608369e-12,6.9042997230886475e-15,-0.5980475880048427,0.007575484586287993,0.0,6.625711161363859e-13,0.021257636759012877,-0.7028999509314956,-0.030688274258707477,-1.4358301597379788e-12,-4.907301087296763e-13,-0.0,-0.0,-0.0,-7.982252662672162e-14,-0.0,-9.2311471834583e-13,-1.401105696307442e-13,-0.0,0.0,-0.0,-5.283439939891832e-13,1.2008208338278038e-12,-0.054213951959931124,-4.3391249171216906e-13
2005-02-01,-0.11615002463414692,-0.033089583259766436,1.1139052644138469e-12,1.2289136245083321e-12,2.9279405506024703e-15,-0.0,-2.330091043278652e-16,0.0021391295630089503,0.25763437620963553,1.4305479408482577e-12,8.438500386735021e-13,0.15514398027648998,0.7597710901090987,3.985042005584527e-13,0.0,-1.4249442554722936e-14,2.919466711025394e-12,4.4530245425300834e-12,-0.0,0.0,0.0,-7.353628854933278e-14,3.7471579441769595e-13,1.3768912342205196e-12,2.39767499474533e-14,0.7420220073393418,0.07224257573651005,0.0,4.325547888622827e-12,0.02850455838140363,-0.050087882489180204,-0.05929598755072292,3.9081767661507117e-13,-8.439307602357491e-14,-0.0,0.0,0.0,4.0536831703852364e-14,0.0,3.3275065428745033e-13,1.6012636529227909e-13,0.0,0.0,-0.0,1.6687938346731517e-12,4.2956636191930976e-12,-0.05753317350849834,-5.121590066110848e-13
2005-03-01,-0.1533631393227571,-0.026829391832243057,-7.426035096092312e-13,1.2210359730691761e-13,-9.427968572939954e-13,0.0,-3.0291183562622474e-15,-0.06310432210876403,-0.1318989390164163,2.0790630073661346e-12,-3.062863103333452e-12,0.0018252232973704704,-0.18741632694347782,5.419657127594957e-14,-0.0,-4.504662485041444e-14,-2.238467996574546e-12,-3.4145901023677725e-12,-0.0,-0.0,-0.0,-1.9097151299023696e-12,1.9208120554184415e-13,1.4883159583770935e-12,3.2010844170683726e-14,-0.5482102890044391,-0.03167929917902251,-0.0,-7.62289177093367e-13,0.007367703649430599,-0.030052729493508124,-0.008062173745931626,-2.2089694765199674e-13,-1.0939843188241191e-13,-0.0,-0.0,-0.0,-9.258412179274922e-15,-0.0,-1.3014844139468822e-13,-9.340704642049614e-14,0.0,0.0,-0.0,-2.7963572364793355e-12,-2.3688920085512126e-12,-0.13166245475983274,3.20099379131928e-13
2005-04-01,-0.007893690994553676,0.11626069793971992,1.6822242768698912e-12,-5.278026464234503e-13,-1.680637876045818e-12,-0.0,-7.792860044743047e-15,-0.27487814884665007,-0.8998712661867653,2.4478264765625745e-13,1.8939745312449713e-12,0.27378349460557055,-0.6844370763377008,-7.412178130387221e-13,-0.0,-3.309547948193714e-14,-1.0877062800256597e-12,-4.493836376422925e-12,-0.0,-0.0,-0.0,-2.5046905554378803e-12,-3.2275940275473814e-14,-2.5627686556011986e-12,-1.368306672393932e-14,-0.964444026952254,-0.06452935506683499,-0.0,-1.2365039558665663e-12,0.025726571759487175,-0.3339192165945347,-0.07802103625095122,-1.5462786335639773e-12,-6.720189387062446e-13,-0.0,-0.0,-0.0,-2.0618734150601448e-13,-0.0,-8.372435817555202e-13,-1.3600476539248064e-13,-0.0,-0.0,0.0,-1.2177684739506783e-12,-5.56744204774709e-13,-0.48681916045652446,-4.054592135671088e-13
2005-05-01,0.2187680075633447,0.3460991546359355,1.8337760135248364e-12,1.2525465788258e-12,4.801822502988051e-13,0.0,-3.1326779581857432e-15,0.18075644807425628,0.8172803417559252,6.199041077009116e-13,2.8753408725171185e-13,0.1028209124185365,0.021130272155392107,9.293117957023117e-13,0.0,1.1721315649852735e-13,3.2315911218153658e-12,9.522761241663111e-14,0.0,0.0,0.0,2.2996802964518616e-12,4.353315846911468e-13,3.064179914305781e-12,8.875163462224862e-14,-0.1301307251677204,0.039392519848697564,0.0,4.2546372674978625e-13,0.020049816488614418,0.25711779677779173,0.13003506041825202,9.38812027520986e-13,1.1023194374437315e-12,0.0,0.0,0.0,1.8016369646156604e-14,0.0,6.829438831948073e-13,2.186340756875349e-13,0.0,0.0,0.0,3.8208291272632396e-12,5.021614396007179e-12,0.151577784051236,6.330854387275909e-13
2005-06-01,-0.27627918480937863,0.18870005588677616,-2.9779916252696722e-12,-9.21685218381249e-13,2.73762441481331e-13,-0.0,-1.8122930336611736e-15,-0.27380858406514563,0.716198911855494,1.1317223709821773e-12,-9.87617082299358e-13,-0.0450221746684716,-0.08543979610658547,2.215683355104997e-13,0.0,-2.2982971862456347e-14,2.8028141534574245e-12,-1.3649291113050457e-12,-0.0,0.0,-0.0,6.685117140848434e-13,-1.1021052776991059e-14,1.7270832244268945e-12,-3.765981667139262e-15,0.4494586039480839,0.04627932401805028,0.0,1.2741752233392037e-12,0.06715480703415432,0.023374345161617432,0.11937218546395535,1.248917357878597e-12,-1.1564977084712117e-13,-0.0,-0.0,-0.0,-7.857138984573853e-14,-0.0,-4.159383178593129e-13,7.698382946744187e-14,0.0,-0.0,0.0,2.5515148978014213e-12,3.5751711188964155e-12,0.6538866450677407,-2.098429263198195e-12
2005-07-01,0.24132141040492663,0.382765990140001,1.2578794142360447e-12,1.4100996076089196e-12,4.3772711231506934e-13,0.0,6.0064569115627476e-15,0.3657911552745305,0.4055584199663641,-1.3510730552455767e-12,3.9879727753606984e-12,0.2354538053607907,0.4262802730479103,4.144443685807908e-13,0.0,3.700258469855472e-13,3.518493357996047e-12,5.9630623965652335e-12,-0.0,0.0,0.0,1.6846495194938054e-12,1.3697594165688887e-13,5.2210442176223165e-12,-2.7491666170116612e-14,-0.35809022244734406,0.07148502727788125,0.0,1.2852550078899793e-12,0.035993044057874075,0.5159051896385561,0.044211920542205685,2.2344575858644284e-12,3.3027907530213883e-13,0.0,0.0,0.0,1.2886708844125906e-13,0.0,1.0935152550172259e-12,2.658508244275659e-13,0.0,0.0,0.0,2.0940463176400553e-12,-7.314090533314805e-13,0.5255434118564752,-1.493797102615664e-13
2005-08-01,-0.21087431656879102,-0.1940659342532248,3.7887934163736287e-13,1.7882268766884062e-12,3.996638851572372e-13,-0.0,1.165045521639326e-15,-0.11551299640248332,-0.4881493443972042,-2.2252967968750678e-14,2.562803821156562e-13,-0.031028796055298,-0.554899320950297,-9.803203333737937e-13,-0.0,-6.435232121487776e-14,-1.0687896490686917e-12,-3.446332639839983e-13,-0.0,0.0,0.0,-9.20317793056801e-13,-1.5744361109987227e-15,-9.550690641992043e-14,0.0,0.4356149097813051,0.010743414504190245,0.0,1.245367783507187e-12,0.015097753379980736,-0.20869951037158418,-0.022626100512775853,-1.1469649205007523e-13,-2.7818458392956173e-13,0.0,-0.0,0.0,-8.98316208745864e-14,0.0,-4.857086163389396e-13,-7.133834863982946e-14,-0.0,-0.0,-0.0,-5.798897495003231e-13,-1.9431464401940822e-12,-0.12944964039412127,-1.4653438244706039e-12
2005-09-01,0.22666169855789833,-0.7431741537531328,4.0918968896835193e-13,1.867003391079966e-12,-5.387410613108546e-13,-0.0,-9.165024770229364e-15,0.16471297635168916,-0.22804956745828986,-3.465105012276891e-13,-2.5753053032109842e-12,-0.08700231050799243,-0.1699608847281539,-2.215683355104997e-13,-0.0,1.912183258956368e-13,3.531104445300693e-13,1.3966716487772563e-12,-0.0,-0.0,0.0,-1.4439853024232619e-12,7.793458749443676e-14,3.64518026169363e-12,-2.8495927948020415e-14,1.7858365475144609,0.07355106852868706,0.0,1.5954889753116986e-12,0.0529025278434525,-0.245430624196983,-0.16774522793954513,4.84274077544762e-13,2.3025765186679077e-13,-0.0,0.0,-0.0,1.7515914933763364e-14,-0.0,5.299859211433181e-13,-3.592578708480621e-15,-0.0,-0.0,-0.0,2.7963572364793355e-12,-7.64158712435875e-13,0.7534632915247571,2.845327814506027e-13
2005-10-01,-0.339428712765808,-0.08495974080210301,4.0161210213560464e-13,6.696003723282578e-13,-1.0379549251885756e-12,-0.0,-1.8459499042863098e-14,-0.35081724833346783,-0.28228838350242363,-1.4591588996652229e-12,-9.37611154081669e-13,-0.21780998015287614,0.21314013652395514,6.216665528711863e-14,-0.0,-2.7763430009847267e-13,-3.4585906932989817e-12,-1.963502675066727e-12,-0.0,-0.0,-0.0,-1.4729541433669385e-12,-3.778646666396934e-13,-2.22053557426315e-12,-1.9834170113600116e-14,-0.9293733350630812,-0.02066041250805816,-0.0,-2.2558441345379294e-12,-0.08273568852229443,-0.4975396327258567,0.006241682900076097,-1.7416874718715126e-13,-1.6253481308244056e-13,0.0,-0.0,-0.0,2.2270234701499137e-14,-0.0,3.4616801937968624e-13,-1.0315833148637209e-13,0.0,0.0,0.0,1.3208599849729579e-12,-4.590410551132649e-12,0.3617951487938261,8.678249834243381e-13
